size,ms
35500,2.304000
35600,2.324000
35700,2.288000
35800,3.417000
35900,2.507000
36000,2.570000
36100,2.399000
36200,2.406000
36300,2.328000
36400,2.450000
36500,2.579000
36600,2.807000
36700,2.744000
36800,2.402000
36900,2.908000
37000,2.433000
37100,2.602000
37200,2.547000
37300,2.453000
37400,2.586000
37500,3.579000
37600,2.624000
37700,2.585000
37800,2.530000
37900,3.695000
38000,2.504000
38100,2.655000
38200,2.600000
38300,2.484000
38400,2.637000
38500,2.526000
38600,2.821000
38700,2.782000
38800,2.619000
38900,2.942000
39000,2.588000
39100,3.658000
39200,2.582000
39300,2.708000
39400,2.563000
39500,2.874000
39600,2.589000
39700,2.683000
39800,2.811000
39900,2.686000
40000,2.719000
40100,2.677000
40200,2.779000
40300,2.653000
40400,2.733000
40500,3.013000
40600,2.687000
40700,2.758000
40800,2.765000
40900,2.643000
41000,2.717000
41100,2.743000
41200,2.778000
41300,2.742000
41400,2.713000
41500,2.799000
41600,2.766000
41700,2.838000
41800,2.843000
41900,2.728000
42000,2.733000
42100,2.829000
42200,2.832000
42300,2.934000
42400,2.876000
42500,3.026000
42600,2.857000
42700,3.099000
42800,2.816000
42900,3.153000
43000,3.007000
43100,2.943000
43200,3.015000
43300,2.902000
43400,3.019000
43500,3.128000
43600,2.891000
43700,3.104000
43800,3.198000
43900,2.904000
44000,2.968000
44100,2.997000
44200,3.033000
44300,3.037000
44400,3.060000
44500,2.944000
44600,3.115000
44700,2.925000
44800,3.071000
44900,3.036000
45000,3.109000
45100,3.215000
45200,3.192000
45300,3.085000
45400,2.999000
45500,3.257000
45600,3.190000
45700,3.148000
45800,3.126000
45900,3.204000
46000,3.050000
46100,3.124000
46200,3.385000
46300,3.093000
46400,3.194000
46500,3.377000
46600,3.194000
46700,3.246000
46800,3.193000
46900,3.285000
47000,3.415000
47100,3.168000
47200,3.147000
47300,3.116000
47400,3.187000
47500,3.169000
47600,3.269000
47700,3.353000
47800,3.356000
47900,3.268000
48000,3.202000
48100,3.401000
48200,3.186000
48300,3.285000
48400,3.367000
48500,3.309000
48600,3.469000
48700,3.445000
48800,3.225000
48900,3.309000
49000,3.373000
49100,3.339000
49200,3.475000
49300,3.446000
49400,3.299000
49500,3.368000
49600,3.393000
49700,3.460000
49800,3.480000
49900,3.340000
50000,3.297000
50100,3.494000
50200,3.485000
50300,3.466000
50400,3.808000
50500,3.397000
50600,3.368000
50700,3.418000
50800,3.433000
50900,3.443000
51000,5.152000
51100,3.486000
51200,3.499000
51300,3.709000
51400,3.419000
51500,3.420000
51600,3.510000
51700,3.575000
51800,3.425000
51900,3.692000
52000,3.585000
52100,3.637000
52200,3.450000
52300,3.843000
52400,3.479000
52500,3.542000
52600,3.712000
52700,3.533000
52800,3.703000
52900,3.742000
53000,3.604000
53100,3.625000
53200,3.684000
53300,3.761000
53400,3.804000
53500,3.768000
53600,3.817000
53700,3.599000
53800,3.578000
53900,3.734000
54000,3.873000
54100,3.784000
54200,3.634000
54300,3.630000
54400,3.643000
54500,3.653000
54600,3.764000
54700,3.895000
54800,3.759000
54900,3.873000
55000,3.724000
55100,3.673000
55200,3.842000
55300,3.823000
55400,3.828000
55500,3.774000
55600,3.811000
55700,3.911000
55800,3.953000
55900,3.755000
56000,3.713000
56100,3.914000
56200,3.944000
56300,3.898000
56400,3.847000
56500,4.010000
56600,3.802000
56700,3.887000
56800,4.053000
56900,3.946000
57000,4.068000
57100,4.061000
57200,3.900000
57300,4.115000
57400,3.851000
57500,4.033000
57600,4.103000
57700,3.843000
57800,3.865000
57900,4.276000
58000,4.062000
58100,4.006000
58200,3.927000
58300,3.896000
58400,4.095000
58500,4.224000
58600,4.140000
58700,4.031000
58800,4.085000
58900,4.291000
59000,4.116000
59100,4.048000
59200,5.443000
59300,4.231000
59400,4.171000
59500,4.331000
59600,4.305000
59700,4.119000
59800,4.202000
59900,4.022000
60000,4.287000
60100,4.106000
60200,4.215000
60300,4.383000
60400,4.124000
60500,4.129000
60600,4.219000
60700,4.228000
60800,4.057000
60900,4.351000
61000,4.392000
61100,4.413000
61200,4.179000
61300,4.296000
61400,4.176000
61500,4.517000
61600,4.170000
61700,4.178000
61800,4.273000
61900,4.467000
62000,4.259000
62100,4.173000
62200,4.256000
62300,4.202000
62400,4.237000
62500,4.147000
62600,4.395000
62700,4.164000
62800,4.328000
62900,4.303000
63000,4.479000
63100,4.204000
63200,4.748000
63300,4.376000
63400,4.207000
63500,4.482000
63600,4.236000
63700,4.314000
63800,4.487000
63900,4.285000
64000,4.523000
64100,4.424000
64200,4.441000
64300,4.266000
64400,4.356000
64500,4.268000
64600,4.833000
64700,4.479000
64800,4.538000
64900,4.603000
65000,4.340000
65100,4.468000
65200,4.329000
65300,4.523000
65400,4.355000
65500,4.588000
65600,4.559000
65700,4.407000
65800,4.546000
65900,4.511000
66000,4.469000
66100,4.535000
66200,4.417000
66300,4.547000
66400,4.447000
66500,4.577000
66600,4.478000
66700,4.581000
66800,4.589000
66900,4.870000
67000,4.778000
67100,4.578000
67200,4.605000
67300,4.662000
67400,4.585000
67500,4.599000
67600,4.771000
67700,4.552000
67800,4.561000
67900,4.712000
68000,4.705000
68100,4.701000
68200,4.782000
68300,4.633000
68400,4.813000
68500,4.601000
68600,4.746000
68700,4.692000
68800,4.687000
68900,4.671000
69000,4.641000
69100,4.934000
69200,4.629000
69300,4.879000
69400,4.751000
69500,4.854000
69600,4.851000
69700,4.836000
69800,5.019000
69900,5.045000
70000,4.977000
70100,4.935000
70200,4.901000
70300,5.059000
70400,4.829000
70500,5.138000
70600,5.012000
70700,4.847000
70800,4.809000
70900,5.073000
71000,4.981000
71100,4.851000
71200,5.193000
71300,5.243000
71400,5.012000
71500,5.276000
71600,4.868000
71700,4.810000
71800,5.000000
71900,5.046000
72000,5.117000
72100,5.006000
72200,4.874000
72300,4.876000
72400,5.273000
72500,5.089000
72600,5.158000
72700,5.108000
72800,5.232000
72900,5.047000
73000,5.163000
73100,5.178000
73200,5.014000
73300,5.220000
73400,5.169000
73500,5.255000
73600,5.295000
73700,5.236000
73800,5.125000
73900,5.238000
74000,5.189000
74100,5.270000
74200,5.152000
74300,5.279000
74400,5.316000
74500,5.457000
74600,5.404000
74700,5.349000
74800,5.656000
74900,5.244000
75000,5.420000
75100,5.440000
75200,5.183000
75300,5.435000
75400,5.319000
75500,5.231000
75600,5.264000
75700,5.533000
75800,5.363000
75900,5.453000
76000,5.815000
76100,5.171000
76200,5.661000
76300,5.588000
76400,5.293000
76500,5.298000
76600,5.655000
76700,5.441000
76800,5.652000
76900,5.337000
77000,5.412000
77100,5.519000
77200,6.736000
77300,5.349000
77400,5.605000
77500,5.703000
77600,5.525000
77700,5.841000
77800,6.257000
77900,5.456000
78000,5.564000
78100,5.537000
78200,5.810000
78300,5.731000
78400,5.540000
78500,5.530000
78600,5.656000
78700,6.259000
78800,5.871000
78900,5.610000
79000,5.767000
79100,5.553000
79200,5.685000
79300,5.841000
79400,5.767000
79500,5.840000
79600,5.458000
79700,5.631000
79800,5.531000
79900,5.745000
80000,5.711000
80100,5.804000
80200,5.808000
80300,5.741000
80400,5.786000
80500,5.905000
80600,5.602000
80700,5.846000
80800,5.774000
80900,5.810000
81000,5.867000
81100,5.942000
81200,5.962000
81300,5.858000
81400,5.999000
81500,5.836000
81600,5.934000
81700,5.907000
81800,5.921000
81900,5.792000
82000,5.668000
82100,6.424000
82200,5.842000
82300,6.017000
82400,5.802000
82500,5.861000
82600,6.083000
82700,5.825000
82800,6.026000
82900,5.920000
83000,5.926000
83100,6.102000
83200,6.029000
83300,6.081000
83400,5.945000
83500,6.302000
83600,5.988000
83700,5.789000
83800,5.768000
83900,6.088000
84000,5.868000
84100,5.971000
84200,5.949000
84300,6.263000
84400,6.190000
84500,6.209000
84600,6.437000
84700,6.128000
84800,6.167000
84900,6.024000
85000,6.170000
85100,5.840000
85200,6.063000
85300,6.204000
85400,6.109000
85500,6.145000
85600,6.179000
85700,6.038000
85800,6.523000
85900,6.154000
86000,6.056000
86100,6.535000
86200,6.294000
86300,6.197000
86400,6.258000
86500,6.491000
86600,6.322000
86700,6.660000
86800,6.297000
86900,6.171000
87000,6.130000
87100,6.829000
87200,6.192000
87300,6.303000
87400,6.684000
87500,8.417000
87600,6.346000
87700,6.550000
87800,6.525000
87900,6.156000
88000,6.260000
88100,6.522000
88200,6.185000
88300,6.135000
88400,6.285000
88500,6.414000
88600,6.445000
88700,6.333000
88800,6.409000
88900,6.274000
89000,6.405000
89100,6.484000
89200,6.368000
89300,6.225000
89400,6.428000
89500,6.361000
89600,6.520000
89700,6.807000
89800,6.308000
89900,6.539000
90000,6.276000
90100,6.314000
90200,6.278000
90300,6.703000
90400,6.767000
90500,6.415000
90600,6.570000
90700,6.624000
90800,6.487000
90900,6.609000
91000,6.503000
91100,6.425000
91200,6.654000
91300,6.723000
91400,6.518000
91500,6.540000
91600,6.725000
91700,6.770000
91800,6.444000
91900,6.726000
92000,6.853000
92100,6.820000
92200,6.811000
92300,6.838000
92400,7.383000
92500,6.974000
92600,6.580000
92700,6.534000
92800,6.621000
92900,6.829000
93000,6.525000
93100,6.665000
93200,6.798000
93300,6.840000
93400,6.730000
93500,6.737000
93600,6.610000
93700,6.823000
93800,6.866000
93900,6.795000
94000,6.789000
94100,6.728000
94200,6.825000
94300,6.883000
94400,6.665000
94500,7.046000
94600,7.046000
94700,6.929000
94800,6.854000
94900,6.909000
95000,6.700000
95100,6.801000
95200,7.053000
95300,6.989000
95400,7.135000
95500,7.167000
95600,6.972000
95700,6.891000
95800,7.335000
95900,7.072000
96000,7.066000
96100,6.916000
96200,6.769000
96300,7.220000
96400,7.094000
96500,6.789000
96600,7.070000
96700,6.798000
96800,7.258000
96900,7.047000
97000,7.099000
97100,7.249000
97200,6.905000
97300,7.110000
97400,6.939000
97500,6.979000
97600,6.817000
97700,7.107000
97800,6.917000
97900,6.944000
98000,7.066000
98100,7.120000
98200,7.131000
98300,6.842000
98400,7.061000
98500,7.148000
98600,7.134000
98700,7.082000
98800,7.533000
98900,7.183000
99000,7.091000
99100,7.079000
99200,7.145000
99300,7.152000
99400,7.244000
99500,7.199000
99600,7.088000
99700,7.233000
99800,7.126000
99900,7.101000
100000,7.103000
